"id_cliente";"sexo";"estado_civil";"tipo_baja";"familia_captacion"
602;"H";"C";"parcial";"Ahorro"
603;"H";"S";"nunca";"No_vida"
604;"H";"C";"total";"Ahorro"
605;"H";"C";"total";"Ahorro"
606;"H";"";"parcial";"Autos"
607;"H";"C";"nunca";"Ahorro"
608;"H";"";"nunca";"Ahorro"
609;"H";"";"nunca";"Vida_Riesgo"
610;"H";"";"total";"Autos"
611;"M";"V";"parcial";"No_vida"
612;"H";"C";"parcial";"Ahorro"
613;"H";"";"total";"Autos"
614;"H";"C";"nunca";"No_vida"
615;"H";"D";"total";"Ahorro"
616;"M";"C";"parcial";"Ahorro"
617;"H";"";"parcial";"Ahorro"
618;"H";"";"parcial";"No_vida"
619;"H";"C";"nunca";"No_vida"
620;"M";"C";"parcial";"Ahorro"
621;"H";"C";"nunca";"RC"
622;"M";"S";"nunca";"Jubilacion"
623;"H";"C";"nunca";"Ahorro"
624;"M";"S";"nunca";"No_vida"
625;"M";"C";"total";"No_vida"
626;"M";"";"total";"Autos"
627;"M";"C";"parcial";"Riesgo_Tomador"
628;"H";"S";"nunca";"No_vida"
629;"M";"C";"nunca";"No_vida"
630;"M";"C";"nunca";"Ahorro"
631;"H";"S";"total";"No_vida"
632;"M";"C";"total";"No_vida"
633;"M";"";"total";"Ahorro"
634;"M";"C";"parcial";"Ahorro"
635;"M";"V";"total";"Ahorro"
636;"M";"S";"total";"No_vida"
637;"M";"";"parcial";"No_vida"
638;"M";"";"nunca";"No_vida"
639;"H";"C";"parcial";"Ahorro"
640;"H";"";"total";"Ahorro"
641;"M";"D";"parcial";"Ahorro"
642;"H";"D";"parcial";"Ahorro"
643;"M";"";"nunca";"Jubilacion_GOLF"
644;"H";"C";"parcial";"Ahorro"
645;"H";"";"nunca";"Ahorro"
646;"H";"C";"nunca";"Ahorro"
647;"H";"C";"total";"No_vida"
648;"H";"C";"parcial";"No_vida"
649;"M";"S";"nunca";"No_vida"
650;"M";"C";"total";"No_vida"
651;"M";"C";"nunca";"No_vida"
652;"H";"C";"nunca";"No_vida"
653;"M";"S";"total";"No_vida"
654;"M";"S";"nunca";"No_vida"
655;"H";"S";"nunca";"No_vida"
656;"H";"C";"parcial";"Vida_Riesgo"
657;"M";"C";"total";"No_vida"
658;"H";"";"total";"Ahorro"
659;"H";"C";"parcial";"Ahorro"
660;"H";"C";"parcial";"Ahorro"
661;"H";"";"nunca";"Ahorro"
662;"M";"C";"parcial";"Ahorro"
663;"M";"C";"parcial";"Ahorro"
664;"H";"C";"parcial";"Ahorro"
665;"M";"";"nunca";"Ahorro"
666;"H";"";"parcial";"Ahorro"
667;"H";"C";"parcial";"Ahorro"
668;"H";"C";"total";"No_vida"
669;"H";"";"total";"Ahorro"
670;"H";"C";"total";"Ahorro"
671;"M";"V";"nunca";"Vida_Riesgo"
672;"H";"";"parcial";"Ahorro"
673;"H";"C";"parcial";"Ahorro"
674;"H";"C";"nunca";"Vida_Riesgo"
675;"H";"S";"total";"Ahorro"
676;"M";"C";"nunca";"Ahorro"
677;"H";"C";"total";"Ahorro"
678;"H";"";"parcial";"Ahorro"
679;"M";"";"parcial";"Ahorro"
680;"M";"V";"parcial";"Ahorro"
681;"M";"C";"parcial";"Riesgo_Tomador"
682;"M";"S";"nunca";"Ahorro"
683;"H";"C";"parcial";"Ahorro"
684;"M";"S";"total";"No_vida"
685;"M";"";"total";"No_vida"
686;"H";"C";"total";"Ahorro"
